Order,PID,MS SubClass,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Sale Type,Sale Condition,SalePrice,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,price_per_sqft,bath_per_bed,qual_x_area,Lot Area log1p,House Age Group
11,527163010,60,75.0,-0.01878966444262816,Pave,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,763.0,763.0,GasA,Gd,Y,SBrkr,763,892,0,0.30716498781093377,0.0,0.0,2,1,3,1,3,7,Typ,1,TA,Attchd,1993.0,Fin,2.0,440.0,TA,TA,Y,157,84,0,0,0,0,0,4,WD ,Normal,175900.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,106.28398791540785,0.8333333333333334,9930,9.210440366976517,Recent
12,527165230,20,68.0,-0.27513438457462785,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,Ex,Y,SBrkr,1187,0,0,-0.6186416698368237,1.0,0.0,2,0,3,1,3,6,Typ,0,,Attchd,1992.0,Fin,2.0,420.0,TA,TA,Y,483,21,0,0,0,0,500,3,WD ,Normal,185000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,155.85509688289807,0.6666666666666666,7122,8.984818995876008,Recent
13,527166040,60,63.0,-0.22158118066586358,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,789.0,789.0,GasA,Gd,Y,SBrkr,789,676,0,-0.0686966894392242,0.0,0.0,2,1,3,1,3,7,Typ,1,Gd,Attchd,1998.0,Fin,2.0,393.0,TA,TA,Y,0,75,0,0,0,0,0,5,WD ,Normal,180400.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,123.13993174061433,0.8333333333333334,8790,9.036344063928219,Recent
14,527180040,20,85.0,0.0035453210738232983,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,637.0,Unf,0.0,663.0,1300.0,GasA,Gd,Y,SBrkr,1341,0,0,-0.31399588932880096,1.0,0.0,1,1,2,1,4,5,Typ,1,Po,Attchd,1990.0,Unf,2.0,506.0,TA,TA,Y,192,0,0,0,0,0,0,2,WD ,Normal,171500.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,127.889634601044,0.75,9387,9.227885551191932,Recent
15,527182190,120,68.0,-0.4223422436603307,Pave,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,368.0,BLQ,1120.0,0.0,1488.0,GasA,TA,Y,SBrkr,1502,0,0,0.004497426656859188,1.0,0.0,1,1,1,1,4,4,Typ,0,,Attchd,1985.0,RFn,2.0,528.0,TA,TA,Y,0,54,0,0,140,0,0,6,WD ,Normal,212000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,141.1451398135819,1.5,12016,8.82776136765472,Mid
16,527216070,60,47.0,5.5020126645784195,Pave,IR2,HLS,AllPub,CulDSac,Mod,Norm,Norm,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603.0,Ex,TA,PConc,Gd,TA,Gd,ALQ,1416.0,Unf,0.0,234.0,1650.0,GasA,Ex,Y,SBrkr,1690,1589,0,3.51979321862281,1.0,0.0,3,1,4,1,5,12,Mod,1,Gd,BuiltIn,2003.0,Fin,3.0,841.0,TA,TA,Y,503,36,0,0,210,0,0,6,WD ,Normal,456689.8399999995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,139.2771698688623,0.875,26232,10.887530386461101,Recent
17,527225035,50,152.0,0.2520220349443458,Pave,IR1,Bnk,AllPub,Inside,Mod,Norm,Norm,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,Gd,TA,Wood,Gd,TA,Av,GLQ,427.0,Unf,0.0,132.0,559.0,GasA,Gd,Y,SBrkr,1080,672,0,0.4990522651439091,0.0,0.0,2,0,4,1,3,8,Typ,0,,Basment,1988.0,RFn,2.0,492.0,TA,TA,Y,325,12,0,0,0,0,0,6,WD ,Normal,164000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93.60730593607306,0.5,14016,9.403849118160702,Mid
18,527258010,20,88.0,0.15811357311381125,Pave,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1445.0,Unf,0.0,411.0,1856.0,GasA,Ex,Y,SBrkr,1856,0,0,0.7047870779545219,1.0,0.0,1,1,1,1,5,8,Typ,1,Ex,Attchd,2010.0,Fin,3.0,834.0,TA,TA,Y,113,0,0,0,0,0,0,6,New,Partial,394432.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,212.51724137931035,1.5,16704,9.340929941679784,New
19,527276150,20,140.0,1.1408529358376756,Pave,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,120.0,Unf,0.0,744.0,864.0,GasA,Ex,Y,SBrkr,864,0,0,-1.2576065211620922,0.0,0.0,1,0,2,1,3,4,Typ,0,,Detchd,1951.0,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,0,6,WD ,Normal,141000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,163.19444444444446,0.5,3456,9.859483417038073,Old
20,527302110,20,85.0,0.38412839814108424,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119.0,TA,TA,CBlock,Gd,TA,No,ALQ,790.0,Rec,163.0,589.0,1542.0,GasA,TA,Y,SBrkr,2073,0,0,1.1340606777612812,1.0,0.0,2,0,3,1,3,7,Min1,2,TA,Attchd,1978.0,Unf,2.0,500.0,TA,TA,Y,349,0,0,0,0,0,0,2,WD ,Normal,210000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,101.30246020260492,0.6666666666666666,12438,9.486152271857476,Mid
21,527358140,20,105.0,0.20341806078070426,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,0.0,1139.0,1844.0,GasA,Ex,Y,SBrkr,1844,0,0,0.6810484457071435,0.0,0.0,2,0,3,1,3,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,546.0,TA,TA,Y,0,122,0,0,0,0,0,1,COD,Normal,190000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,103.03687635574838,0.6666666666666666,11064,9.371778717853713,Mid
22,527358200,85,85.0,0.060524914806134124,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,885.0,LwQ,168.0,0.0,1053.0,GasA,TA,Y,SBrkr,1173,0,0,-0.6463367407920986,1.0,0.0,2,0,3,1,4,6,Typ,2,TA,Attchd,1974.0,RFn,2.0,528.0,TA,TA,Y,0,120,0,0,0,0,0,1,WD ,Family,170000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,144.92753623188406,0.6666666666666666,8211,9.271059107010888,Mid
23,527368020,60,68.0,-0.3360479814376773,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,533.0,Unf,0.0,281.0,814.0,GasA,Ex,Y,SBrkr,814,860,0,0.34475115553594954,1.0,0.0,2,1,3,1,4,7,Typ,0,,Attchd,2000.0,RFn,2.0,663.0,TA,TA,Y,0,96,0,0,0,0,0,1,WD ,Normal,216000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,129.03225806451613,0.8333333333333334,11718,8.922791623969637,Recent
24,527402200,20,68.0,0.13869736411371422,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578.0,Unf,0.0,426.0,1004.0,GasA,Ex,Y,SBrkr,1004,0,0,-0.9806558116093442,1.0,0.0,1,0,2,1,3,5,Typ,1,TA,Attchd,1970.0,Fin,2.0,480.0,TA,TA,Y,0,0,0,0,0,0,700,3,WD ,Normal,149000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,148.40637450199202,0.5,6024,9.32741204356202,Mid
25,527402250,20,68.0,0.3031640756439477,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,TA,TA,No,GLQ,734.0,Unf,0.0,344.0,1078.0,GasA,Ex,Y,SBrkr,1078,0,0,-0.8342675794171774,1.0,0.0,1,1,3,1,3,6,Typ,1,Fa,Attchd,1971.0,Fin,2.0,500.0,TA,TA,Y,0,0,0,0,0,0,0,4,WD ,Normal,149900.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,139.05380333951763,0.5,5390,9.436519311833914,Mid
26,527403020,20,65.0,-0.21548982097955863,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,TA,TA,No,BLQ,775.0,Unf,0.0,281.0,1056.0,GasA,Ex,Y,SBrkr,1056,0,0,-0.8777884052040379,1.0,0.0,1,0,3,1,3,6,Typ,1,Fa,Attchd,1968.0,Unf,1.0,304.0,TA,TA,Y,0,85,184,0,0,0,0,7,WD ,Normal,142000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,134.46969696969697,0.3333333333333333,5280,9.042040056544483,Old
27,527404120,20,70.0,-0.2218349873194596,Pave,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,804.0,Rec,78.0,0.0,882.0,GasA,TA,Y,SBrkr,882,0,0,-1.2219985727910248,1.0,0.0,1,0,2,1,3,4,Typ,0,,Attchd,1970.0,Fin,2.0,525.0,TA,TA,Y,240,0,0,0,0,0,0,4,WD ,Normal,126000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,142.85714285714286,0.5,3528,9.036106025364846,Mid
28,527425090,20,70.0,0.04466199895638167,Pave,Reg,Lvl,AllPub,FR2,Gtl,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,432.0,Unf,0.0,432.0,864.0,GasA,TA,Y,SBrkr,864,0,0,-1.2576065211620922,0.0,0.0,1,0,3,1,3,5,Typ,1,Po,,0.0,,0.0,0.0,,,Y,0,0,0,0,0,0,0,4,ConLI,Normal,115000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,133.10185185185185,0.3333333333333333,3456,9.259225769705994,Mid
29,527427230,120,26.0,-0.5444232440400256,Pave,IR1,Lvl,AllPub,FR2,Gtl,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1051.0,BLQ,0.0,354.0,1405.0,GasA,Ex,Y,SBrkr,1337,0,0,-0.3219087667445938,1.0,0.0,2,0,2,1,4,5,Typ,1,Fa,Attchd,1999.0,Fin,2.0,511.0,TA,TA,Y,203,68,0,0,0,0,0,6,WD ,Normal,184000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,137.62154076290201,1.0,9359,8.675734219544788,Recent
30,527451180,160,21.0,-1.0746253434021518,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,TA,TA,CBlock,TA,TA,No,Rec,156.0,Unf,0.0,327.0,483.0,GasA,TA,Y,SBrkr,483,504,0,-1.0142855406264637,0.0,0.0,1,1,2,1,3,5,Typ,0,,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,275,0,0,0,0,0,0,2,COD,Normal,96000.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,97.26443768996961,0.75,5922,7.427144133408616,Mid
31,527451330,160,21.0,-1.0746253434021518,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,TA,Y,SBrkr,525,567,0,-0.8065725084619026,0.0,0.0,1,1,3,1,3,6,Typ,0,,Detchd,1997.0,Unf,1.0,320.0,TA,TA,Y,0,0,0,0,0,0,0,3,WD ,Normal,105500.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,96.6117216117216,0.5,5460,7.427144133408616,Mid
32,527451410,160,21.0,-1.0746253434021518,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,525.0,525.0,GasA,TA,Y,SBrkr,525,567,0,-0.8065725084619026,0.0,0.0,1,1,3,1,3,6,Typ,0,,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,0,0,0,0,0,0,0,3,WD ,Family,88000.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,80.58608058608058,0.5,6552,7.427144133408616,Mid
